row_id,microbusiness_density
1001_2022-11-01,3.4821534156799316
1001_2022-12-01,3.4821534156799316
1001_2023-01-01,3.4821534156799316
1001_2023-02-01,3.4821534156799316
1001_2023-03-01,3.4821534156799316
1001_2023-04-01,3.4821534156799316
1001_2023-05-01,3.4821534156799316
1001_2023-06-01,3.4821534156799316
1003_2022-11-01,8.419820785522461
1003_2022-12-01,8.419820785522461
1003_2023-01-01,8.419820785522461
1003_2023-02-01,8.419820785522461
1003_2023-03-01,8.419820785522461
1003_2023-04-01,8.419820785522461
1003_2023-05-01,8.419820785522461
1003_2023-06-01,8.419820785522461
1005_2022-11-01,1.2346129417419434
1005_2022-12-01,1.2346129417419434
1005_2023-01-01,1.2346129417419434
1005_2023-02-01,1.2346129417419434
1005_2023-03-01,1.2346129417419434
1005_2023-04-01,1.2346129417419434
1005_2023-05-01,1.2346129417419434
1005_2023-06-01,1.2346129417419434
1007_2022-11-01,1.2926390171051025
1007_2022-12-01,1.2926390171051025
1007_2023-01-01,1.2926390171051025
1007_2023-02-01,1.2926390171051025
1007_2023-03-01,1.2926390171051025
1007_2023-04-01,1.2926390171051025
1007_2023-05-01,1.2926390171051025
1007_2023-06-01,1.2926390171051025
1009_2022-11-01,1.8390166759490967
1009_2022-12-01,1.8390166759490967
1009_2023-01-01,1.8390166759490967
1009_2023-02-01,1.8390166759490967
1009_2023-03-01,1.8390166759490967
1009_2023-04-01,1.8390166759490967
1009_2023-05-01,1.8390166759490967
1009_2023-06-01,1.8390166759490967
1011_2022-11-01,0.9908173084259033
1011_2022-12-01,0.9908173084259033
1011_2023-01-01,0.9908173084259033
1011_2023-02-01,0.9908173084259033
1011_2023-03-01,0.9908173084259033
1011_2023-04-01,0.9908173084259033
1011_2023-05-01,0.9908173084259033
1011_2023-06-01,0.9908173084259033
1013_2022-11-01,2.1915488243103027
1013_2022-12-01,2.1915488243103027
1013_2023-01-01,2.1915488243103027
1013_2023-02-01,2.1915488243103027
1013_2023-03-01,2.1915488243103027
1013_2023-04-01,2.1915488243103027
1013_2023-05-01,2.1915488243103027
1013_2023-06-01,2.1915488243103027
1015_2022-11-01,2.80997633934021
1015_2022-12-01,2.80997633934021
1015_2023-01-01,2.80997633934021
1015_2023-02-01,2.80997633934021
1015_2023-03-01,2.80997633934021
1015_2023-04-01,2.80997633934021
1015_2023-05-01,2.80997633934021
1015_2023-06-01,2.80997633934021
1017_2022-11-01,1.448715090751648
1017_2022-12-01,1.448715090751648
1017_2023-01-01,1.448715090751648
1017_2023-02-01,1.448715090751648
1017_2023-03-01,1.448715090751648
1017_2023-04-01,1.448715090751648
1017_2023-05-01,1.448715090751648
1017_2023-06-01,1.448715090751648
1019_2022-11-01,1.124080777168274
1019_2022-12-01,1.124080777168274
1019_2023-01-01,1.124080777168274
1019_2023-02-01,1.124080777168274
1019_2023-03-01,1.124080777168274
1019_2023-04-01,1.124080777168274
1019_2023-05-01,1.124080777168274
1019_2023-06-01,1.124080777168274
1021_2022-11-01,1.818880558013916
1021_2022-12-01,1.818880558013916
1021_2023-01-01,1.818880558013916
1021_2023-02-01,1.818880558013916
1021_2023-03-01,1.818880558013916
1021_2023-04-01,1.818880558013916
1021_2023-05-01,1.818880558013916
1021_2023-06-01,1.818880558013916
1023_2022-11-01,1.68891441822052
1023_2022-12-01,1.68891441822052
1023_2023-01-01,1.68891441822052
1023_2023-02-01,1.68891441822052
1023_2023-03-01,1.68891441822052
1023_2023-04-01,1.68891441822052
1023_2023-05-01,1.68891441822052
1023_2023-06-01,1.68891441822052
1025_2022-11-01,1.3567156791687012
1025_2022-12-01,1.3567156791687012
1025_2023-01-01,1.3567156791687012
1025_2023-02-01,1.3567156791687012
1025_2023-03-01,1.3567156791687012
1025_2023-04-01,1.3567156791687012
1025_2023-05-01,1.3567156791687012
1025_2023-06-01,1.3567156791687012
1027_2022-11-01,1.5882642269134521
1027_2022-12-01,1.5882642269134521
1027_2023-01-01,1.5882642269134521
1027_2023-02-01,1.5882642269134521
1027_2023-03-01,1.5882642269134521
1027_2023-04-01,1.5882642269134521
1027_2023-05-01,1.5882642269134521
1027_2023-06-01,1.5882642269134521
1029_2022-11-01,1.3611347675323486
1029_2022-12-01,1.3611347675323486
1029_2023-01-01,1.3611347675323486
1029_2023-02-01,1.3611347675323486
1029_2023-03-01,1.3611347675323486
1029_2023-04-01,1.3611347675323486
1029_2023-05-01,1.3611347675323486
1029_2023-06-01,1.3611347675323486
1031_2022-11-01,2.2216153144836426
1031_2022-12-01,2.2216153144836426
1031_2023-01-01,2.2216153144836426
1031_2023-02-01,2.2216153144836426
1031_2023-03-01,2.2216153144836426
1031_2023-04-01,2.2216153144836426
1031_2023-05-01,2.2216153144836426
1031_2023-06-01,2.2216153144836426
1033_2022-11-01,2.449005126953125
1033_2022-12-01,2.449005126953125
1033_2023-01-01,2.449005126953125
1033_2023-02-01,2.449005126953125
1033_2023-03-01,2.449005126953125
1033_2023-04-01,2.449005126953125
1033_2023-05-01,2.449005126953125
1033_2023-06-01,2.449005126953125
1035_2022-11-01,1.1003639698028564
1035_2022-12-01,1.1003639698028564
1035_2023-01-01,1.1003639698028564
1035_2023-02-01,1.1003639698028564
1035_2023-03-01,1.1003639698028564
1035_2023-04-01,1.1003639698028564
1035_2023-05-01,1.1003639698028564
1035_2023-06-01,1.1003639698028564
1037_2022-11-01,0.8316665291786194
1037_2022-12-01,0.8316665291786194
1037_2023-01-01,0.8316665291786194
1037_2023-02-01,0.8316665291786194
1037_2023-03-01,0.8316665291786194
1037_2023-04-01,0.8316665291786194
1037_2023-05-01,0.8316665291786194
1037_2023-06-01,0.8316665291786194
1039_2022-11-01,1.6887296438217163
1039_2022-12-01,1.6887296438217163
1039_2023-01-01,1.6887296438217163
1039_2023-02-01,1.6887296438217163
1039_2023-03-01,1.6887296438217163
1039_2023-04-01,1.6887296438217163
1039_2023-05-01,1.6887296438217163
1039_2023-06-01,1.6887296438217163
1041_2022-11-01,1.064117670059204
1041_2022-12-01,1.064117670059204
1041_2023-01-01,1.064117670059204
1041_2023-02-01,1.064117670059204
1041_2023-03-01,1.064117670059204
1041_2023-04-01,1.064117670059204
1041_2023-05-01,1.064117670059204
1041_2023-06-01,1.064117670059204
1043_2022-11-01,2.6951327323913574
