row_id,microbusiness_density
1001_2022-11-01,3.4665678173344743
1001_2022-12-01,3.4665678173344743
1001_2023-01-01,3.4665678173344743
1001_2023-02-01,3.4665678173344743
1001_2023-03-01,3.4665678173344743
1001_2023-04-01,3.4665678173344743
1001_2023-05-01,3.4665678173344743
1001_2023-06-01,3.4665678173344743
1003_2022-11-01,8.368204994043307
1003_2022-12-01,8.368204994043307
1003_2023-01-01,8.368204994043307
1003_2023-02-01,8.368204994043307
1003_2023-03-01,8.368204994043307
1003_2023-04-01,8.368204994043307
1003_2023-05-01,8.368204994043307
1003_2023-06-01,8.368204994043307
1005_2022-11-01,1.2321023302096776
1005_2022-12-01,1.2321023302096776
1005_2023-01-01,1.2321023302096776
1005_2023-02-01,1.2321023302096776
1005_2023-03-01,1.2321023302096776
1005_2023-04-01,1.2321023302096776
1005_2023-05-01,1.2321023302096776
1005_2023-06-01,1.2321023302096776
1007_2022-11-01,1.287375861582356
1007_2022-12-01,1.287375861582356
1007_2023-01-01,1.287375861582356
1007_2023-02-01,1.287375861582356
1007_2023-03-01,1.287375861582356
1007_2023-04-01,1.287375861582356
1007_2023-05-01,1.287375861582356
1007_2023-06-01,1.287375861582356
1009_2022-11-01,1.8326445337758008
1009_2022-12-01,1.8326445337758008
1009_2023-01-01,1.8326445337758008
1009_2023-02-01,1.8326445337758008
1009_2023-03-01,1.8326445337758008
1009_2023-04-01,1.8326445337758008
1009_2023-05-01,1.8326445337758008
1009_2023-06-01,1.8326445337758008
1011_2022-11-01,0.9880922399999998
1011_2022-12-01,0.9880922399999998
1011_2023-01-01,0.9880922399999998
1011_2023-02-01,0.9880922399999998
1011_2023-03-01,0.9880922399999998
1011_2023-04-01,0.9880922399999998
1011_2023-05-01,0.9880922399999998
1011_2023-06-01,0.9880922399999998
1013_2022-11-01,2.1892463725334617
1013_2022-12-01,2.1892463725334617
1013_2023-01-01,2.1892463725334617
1013_2023-02-01,2.1892463725334617
1013_2023-03-01,2.1892463725334617
1013_2023-04-01,2.1892463725334617
1013_2023-05-01,2.1892463725334617
1013_2023-06-01,2.1892463725334617
1015_2022-11-01,2.8017889767723476
1015_2022-12-01,2.8017889767723476
1015_2023-01-01,2.8017889767723476
1015_2023-02-01,2.8017889767723476
1015_2023-03-01,2.8017889767723476
1015_2023-04-01,2.8017889767723476
1015_2023-05-01,2.8017889767723476
1015_2023-06-01,2.8017889767723476
1017_2022-11-01,1.443423747482299
1017_2022-12-01,1.443423747482299
1017_2023-01-01,1.443423747482299
1017_2023-02-01,1.443423747482299
1017_2023-03-01,1.443423747482299
1017_2023-04-01,1.443423747482299
1017_2023-05-01,1.443423747482299
1017_2023-06-01,1.443423747482299
1019_2022-11-01,1.117345
1019_2022-12-01,1.117345
1019_2023-01-01,1.117345
1019_2023-02-01,1.117345
1019_2023-03-01,1.117345
1019_2023-04-01,1.117345
1019_2023-05-01,1.117345
1019_2023-06-01,1.117345
1021_2022-11-01,1.8149573790938818
1021_2022-12-01,1.8149573790938818
1021_2023-01-01,1.8149573790938818
1021_2023-02-01,1.8149573790938818
1021_2023-03-01,1.8149573790938818
1021_2023-04-01,1.8149573790938818
1021_2023-05-01,1.8149573790938818
1021_2023-06-01,1.8149573790938818
1023_2022-11-01,1.6874128902279817
1023_2022-12-01,1.6874128902279817
1023_2023-01-01,1.6874128902279817
1023_2023-02-01,1.6874128902279817
1023_2023-03-01,1.6874128902279817
1023_2023-04-01,1.6874128902279817
1023_2023-05-01,1.6874128902279817
1023_2023-06-01,1.6874128902279817
1025_2022-11-01,1.3546981722383298
1025_2022-12-01,1.3546981722383298
1025_2023-01-01,1.3546981722383298
1025_2023-02-01,1.3546981722383298
1025_2023-03-01,1.3546981722383298
1025_2023-04-01,1.3546981722383298
1025_2023-05-01,1.3546981722383298
1025_2023-06-01,1.3546981722383298
1027_2022-11-01,1.5829383999999997
1027_2022-12-01,1.5829383999999997
1027_2023-01-01,1.5829383999999997
1027_2023-02-01,1.5829383999999997
1027_2023-03-01,1.5829383999999997
1027_2023-04-01,1.5829383999999997
1027_2023-05-01,1.5829383999999997
1027_2023-06-01,1.5829383999999997
1029_2022-11-01,1.3555517
1029_2022-12-01,1.3555517
1029_2023-01-01,1.3555517
1029_2023-02-01,1.3555517
1029_2023-03-01,1.3555517
1029_2023-04-01,1.3555517
1029_2023-05-01,1.3555517
1029_2023-06-01,1.3555517
1031_2022-11-01,2.2172149562704795
1031_2022-12-01,2.2172149562704795
1031_2023-01-01,2.2172149562704795
1031_2023-02-01,2.2172149562704795
1031_2023-03-01,2.2172149562704795
1031_2023-04-01,2.2172149562704795
1031_2023-05-01,2.2172149562704795
1031_2023-06-01,2.2172149562704795
1033_2022-11-01,2.4428289401100804
1033_2022-12-01,2.4428289401100804
1033_2023-01-01,2.4428289401100804
1033_2023-02-01,2.4428289401100804
1033_2023-03-01,2.4428289401100804
1033_2023-04-01,2.4428289401100804
1033_2023-05-01,2.4428289401100804
1033_2023-06-01,2.4428289401100804
1035_2022-11-01,1.095947
1035_2022-12-01,1.095947
1035_2023-01-01,1.095947
1035_2023-02-01,1.095947
1035_2023-03-01,1.095947
1035_2023-04-01,1.095947
1035_2023-05-01,1.095947
1035_2023-06-01,1.095947
1037_2022-11-01,0.82838911
1037_2022-12-01,0.82838911
1037_2023-01-01,0.82838911
1037_2023-02-01,0.82838911
1037_2023-03-01,0.82838911
1037_2023-04-01,0.82838911
1037_2023-05-01,0.82838911
1037_2023-06-01,0.82838911
1039_2022-11-01,1.6845804
1039_2022-12-01,1.6845804
1039_2023-01-01,1.6845804
1039_2023-02-01,1.6845804
1039_2023-03-01,1.6845804
1039_2023-04-01,1.6845804
1039_2023-05-01,1.6845804
1039_2023-06-01,1.6845804
1041_2022-11-01,1.0612549
1041_2022-12-01,1.0612549
1041_2023-01-01,1.0612549
1041_2023-02-01,1.0612549
1041_2023-03-01,1.0612549
1041_2023-04-01,1.0612549
1041_2023-05-01,1.0612549
1041_2023-06-01,1.0612549
1043_2022-11-01,2.6899366796354656
1043_2022-12-01,2.6899366796354656
1043_2023-01-01,2.6899366796354656
1043_2023-02-01,2.6899366796354656
1043_2023-03-01,2.6899366796354656
1043_2023-04-01,2.6899366796354656
1043_2023-05-01,2.6899366796354656
1043_2023-06-01,2.6899366796354656
1045_2022-11-01,1.7595617
1045_2022-12-01,1.7595617
1045_2023-01-01,1.7595617
1045_2023-02-01,1.7595617
1045_2023-03-01,1.7595617
1045_2023-04-01,1.7595617
1045_2023-05-01,1.7595617
1045_2023-06-01,1.7595617
1047_2022-11-01,1.4767009789096732
1047_2022-12-01,1.4767009789096732
1047_2023-01-01,1.4767009789096732
1047_2023-02-01,1.4767009789096732
1047_2023-03-01,1.4767009789096732
1047_2023-04-01,1.4767009789096732
1047_2023-05-01,1.4767009789096732
1047_2023-06-01,1.4767009789096732
1049_2022-11-01,2.2713821
1049_2022-12-01,2.2713821
1049_2023-01-01,2.2713821
1049_2023-02-01,2.2713821
1049_2023-03-01,2.2713821
1049_2023-04-01,2.2713821
1049_2023-05-01,2.2713821
1049_2023-06-01,2.2713821
1051_2022-11-01,3.2531941731585325
1051_2022-12-01,3.2531941731585325
1051_2023-01-01,3.2531941731585325
1051_2023-02-01,3.2531941731585325
1051_2023-03-01,3.2531941731585325
1051_2023-04-01,3.2531941731585325
1051_2023-05-01,3.2531941731585325
1051_2023-06-01,3.2531941731585325
1053_2022-11-01,1.9511037849737694
1053_2022-12-01,1.9511037849737694
1053_2023-01-01,1.9511037849737694
1053_2023-02-01,1.9511037849737694
1053_2023-03-01,1.9511037849737694
1053_2023-04-01,1.9511037849737694
1053_2023-05-01,1.9511037849737694
1053_2023-06-01,1.9511037849737694
1055_2022-11-01,2.73876557484612
1055_2022-12-01,2.73876557484612
1055_2023-01-01,2.73876557484612
1055_2023-02-01,2.73876557484612
1055_2023-03-01,2.73876557484612
1055_2023-04-01,2.73876557484612
1055_2023-05-01,2.73876557484612
1055_2023-06-01,2.73876557484612
1057_2022-11-01,1.0514109
1057_2022-12-01,1.0514109
1057_2023-01-01,1.0514109
1057_2023-02-01,1.0514109
1057_2023-03-01,1.0514109
1057_2023-04-01,1.0514109
1057_2023-05-01,1.0514109
1057_2023-06-01,1.0514109
1059_2022-11-01,1.9341753136128308
1059_2022-12-01,1.9341753136128308
1059_2023-01-01,1.9341753136128308
1059_2023-02-01,1.9341753136128308
1059_2023-03-01,1.9341753136128308
1059_2023-04-01,1.9341753136128308
1059_2023-05-01,1.9341753136128308
1059_2023-06-01,1.9341753136128308
1061_2022-11-01,1.4525291148826016
1061_2022-12-01,1.4525291148826016
1061_2023-01-01,1.4525291148826016
1061_2023-02-01,1.4525291148826016
1061_2023-03-01,1.4525291148826016
